 do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555525841177 ;SP ;ADAMANTINA ;SUBDISTRITO DE PERDI ;RUA PARINTINS, N. 58 ;736.460,40;1.326.000,00;44.46;Casa, 0.00 de área total, 260.00 de área privativa, 232.51 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555525841177
 10177903 ;SP ;ADAMANTINA ;ADAMANTINA ;RUA SANTO ANDRÉ, N. 98, Nº 160 NO LOCAL - BAIRRO TERRA PRETA ;540.000,00;540.000,00;0.00;Imóvel rural, 0.00 de área total, 0.00 de área privativa, 800.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10177903
 8444407659375 ;SP ;ADAMANTINA ;RESIDENCIAL SAN MIGU ;RUA 01 ATUAL RUA GERSON CANSIAN, N. 154, LT 7 QD B ;167.000,00;167.000,00;0.00;Casa, 0.00 de área total, 52.00 de área privativa, 250.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407659375
 8444408048450 ;SP ;ADOLFO ;BAIRRO ADOLFO ;RUA RUI COSTA N 811 CS811 QDG LT1, N. 811, QDG LT1 ;79.338,00;140.000,00;43.33;Casa, 0.00 de área total, 54.82 de área privativa, 232.84 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408048450
 8787701975796 ;SP ;AGUDOS ;VALE DOS PINHEIROS ;RUA AIDE DO CARMO PRADO, N. 25, LT 28 QD C ;207.000,00;207.000,00;0.00;Casa, 0.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701975796
 8787708866704 ;SP ;ALTINOPOLIS ;FIGUEIREDO FELIPPE ;RUA SEIS, N. 330, LT 31 QD 14 ;116.000,00;116.000,00;0.00;Casa, 0.00 de área total, 46.10 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708866704
 8444429464933 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA COELHO NETO, N. 114, LOTE 35B QUADRA 1 ;163.000,00;163.000,00;0.00;Casa, 0.00 de área total, 53.23 de área privativa, 148.28 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444429464933
 8444413030866 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA JOAQUIM SERRA, N. 220, LT 32 QD 9 ;125.000,00;125.000,00;0.00;Casa, 0.00 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413030866
 1444419719060 ;SP ;ALVARES MACHADO ;RES PORTINARI II ;RUA DAS ACACIAS, N. 107, QD J, LT 06 ;1.060.676,95;1.000.000,00;0.00;Casa, 0.00 de área total, 179.43 de área privativa, 300.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419719060
 8444425430511 ;SP ;ALVARES MACHADO ;CENTRO ;RUA  ALCIDES MORANI, N. SN, LT 7B QD N ;135.806,91;58.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425430511
 8787702879740 ;SP ;AMERICANA ;JARDIM SAO ROQUE ;RUA JURUA, N. 304, Apto 31, VG 21 ;172.661,32;311.550,56;44.59;Apartamento, 68.46 de área total, 52.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702879740
